id,created_at,updated_at,name,description,gsf_standards_version,estimated_annual_credits,crediting_period_start_date,crediting_period_end_date,methodology,type,size,sustaincert_id,sustaincert_url,project_developer,country,country_code,latitude,longitude,carbon_stream,programme_of_activities,poa_project_id,poa_project_sustaincert_id,poa_project_name,sustainable_development_goals,VER_issued_credits,VER_retired_credits,Goal_3,Goal_1,Goal_13,Goal_7,Goal_8,Goal_12,Goal_5,Goal_15,Goal_6,Goal_4,Goal_17,Goal_2,Goal_11,Goal_9,Goal_10,Goal_16,Goal_14
3653,2022-07-25 14:23:52+00:00,2023-03-15 01:54:01+00:00,GS10789 VPA10: Efficient and Clean Cooking for households in Mozambique,"This VPA deploys highly efficient improved charcoal cookstoves (ICS), known as ‘Jikokoas’ reducing woody biomass consumption for urban and peri-urban households in the Republic of Mozambique. The VPA is implemented by BURN Manufacturing Co. (in the following ‘BURN’), at the same time Coordinating and Managing Entity (CME) of the PoA, the biggest manufacturer of highly efficient improved cookstoves in Sub-Saharan Africa producing all its stoves in the first and only modern cookstove manufacturing facility in Kenya. BURN collaborates with various local partners on the ground to assist in the different activities of this cookstove project. The scenario existing prior to the implementation of the project is the use of very inefficient traditional cookstoves, consuming a lot of non-renewable charcoal and firewood. The high biomass consumption has negative impacts on the environment leading to deforestation and land degradation, Greenhouse Gas Emissions (GHG) emissions, loss of soil fertility and soils’ reduced ability of water retention. Further, indoor air pollution through health-damaging pollutants while combusting firewood and charcoal result in diseases like e.g. pneumonia, stroke, ischaemic heart diseases, chronic obstructive pulmonary diseases and lung cancer. The project activity will relieve these negative impacts.",Gold Standard for the Global Goals,311327,2021-03-30,2026-03-30,GS TPDDTEC v3.1,Energy Efficiency - Domestic,Large Scale,11606,https://platform.sustain-cert.com/public-project/2853,Burn Manufacturing Co.,Mozambique,MZ,,,VER,VPA,2746,10789,ECOA_BURN multi-country Clean Cooking Programme,"[{'name': 'Goal 3: Good Health and Well-Being', 'issuable_products': [{'name': 'Averted Disability Adjusted Life Year', 'abbreviation': 'ADALY'}]}, {'name': 'Goal 1: No Poverty', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}]}, {'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 7: Affordable and Clean Energy', 'issuable_products': []}, {'name': 'Goal 8: Decent Work and Economic Growth', 'issuable_products': []}]",9141.0,0.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
3649,2022-07-20 14:54:25+00:00,2023-03-27 18:37:46+00:00,TASC Clean Cooking PoA – VPA 3 (Zambia),"The goal of the proposed project is to distribute improved cookstoves (ICS) in households in Zambia. 

The African Stove Company Ltd. (TASC)  is the coordinating/managing entity (CME) of the PoA and is the sole implementer of the VPA. TASC’s mission is financing and developing high-impact climate mitigation projects. 
 
The VPA is retroactive in nature, as the first ICS was distributed in Zambia on the 21st of September 2021. ",Gold Standard for the Global Goals,96484,2021-09-21,2026-09-20,GS TPDDTEC v3.1,Energy Efficiency - Domestic,Large Scale,11596,https://platform.sustain-cert.com/public-project/2843,THE AFRICAN STOVE COMPANY LIMITED,Zambia,ZM,,,VER,VPA,2968,11009,TASC Clean Cooking PoA,"[{'name': 'Goal 8: Decent Work and Economic Growth', 'issuable_products': []}, {'name': 'Goal 7: Affordable and Clean Energy', 'issuable_products': []}, {'name': 'Goal 1: No Poverty', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}]}, {'name': 'Goal 3: Good Health and Well-Being', 'issuable_products': [{'name': 'Averted Disability Adjusted Life Year', 'abbreviation': 'ADALY'}]}, {'name': 'Goal 12: Responsible Production and Consumption', 'issuable_products': []}, {'name': 'Goal 5: Gender Equality', 'issuable_products': []}, {'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}]",191115.0,0.0,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False
3595,2022-06-23 05:52:18+00:00,2023-03-28 12:23:43+00:00,GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA015,"The project involves providing access to clean and affordable cooking energy services in various states of India through dissemination of improved, energy efficient cook stoves.

",Gold Standard for the Global Goals,39126,2022-03-01,2027-03-01,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Energy Efficiency - Domestic,Small Scale,11634,https://platform.sustain-cert.com/public-project/2881,Greenway Grameen Infra Private Limited,India,IN,,,VER,VPA,2775,10818,Dissemination of Improved Cookstoves in India by Greenway,"[{'name': 'Goal 5: Gender Equality', 'issuable_products': []}, {'name': 'Goal 3: Good Health and Well-Being', 'issuable_products': [{'name': 'Averted Disability Adjusted Life Year', 'abbreviation': 'ADALY'}]}, {'name': 'Goal 7: Affordable and Clean Energy', 'issuable_products': []}, {'name': 'Goal 8: Decent Work and Economic Growth', 'issuable_products': []}, {'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}]",0.0,0.0,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False
3594,2022-06-23 05:52:03+00:00,2023-03-28 12:23:07+00:00,GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA014,"The project involves providing access to clean and affordable cooking energy services in various states of India through dissemination of improved, energy efficient cook stoves.

",Gold Standard for the Global Goals,39126,2022-01-21,2027-01-21,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Energy Efficiency - Domestic,Small Scale,11633,https://platform.sustain-cert.com/public-project/2880,Greenway Grameen Infra Private Limited,India,IN,,,VER,VPA,2775,10818,Dissemination of Improved Cookstoves in India by Greenway,"[{'name': 'Goal 8: Decent Work and Economic Growth', 'issuable_products': []}, {'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 5: Gender Equality', 'issuable_products': []}, {'name': 'Goal 3: Good Health and Well-Being', 'issuable_products': [{'name': 'Averted Disability Adjusted Life Year', 'abbreviation': 'ADALY'}]}, {'name': 'Goal 7: Affordable and Clean Energy', 'issuable_products': []}]",0.0,0.0,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False
3593,2022-06-23 05:51:46+00:00,2023-03-28 12:22:37+00:00,GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA013,"The project involves providing access to clean and affordable cooking energy services in various states of India through dissemination of improved, energy efficient cook stoves.

",Gold Standard for the Global Goals,39126,2021-12-20,2026-12-20,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Energy Efficiency - Domestic,Small Scale,11632,https://platform.sustain-cert.com/public-project/2879,Greenway Grameen Infra Private Limited,India,IN,,,VER,VPA,2775,10818,Dissemination of Improved Cookstoves in India by Greenway,"[{'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 5: Gender Equality', 'issuable_products': []}, {'name': 'Goal 8: Decent Work and Economic Growth', 'issuable_products': []}, {'name': 'Goal 7: Affordable and Clean Energy', 'issuable_products': []}, {'name': 'Goal 3: Good Health and Well-Being', 'issuable_products': [{'name': 'Averted Disability Adjusted Life Year', 'abbreviation': 'ADALY'}]}]",0.0,0.0,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False
3592,2022-06-23 05:51:34+00:00,2023-03-28 12:21:56+00:00,GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA012,"The project involves providing access to clean and affordable cooking energy services in various states of India through dissemination of improved, energy efficient cook stoves.

",Gold Standard for the Global Goals,39126,2021-11-20,2026-11-20,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Energy Efficiency - Domestic,Small Scale,11631,https://platform.sustain-cert.com/public-project/2878,Greenway Grameen Infra Private Limited,India,IN,,,Reporting Only,VPA,2775,10818,Dissemination of Improved Cookstoves in India by Greenway,"[{'name': 'Goal 3: Good Health and Well-Being', 'issuable_products': [{'name': 'Averted Disability Adjusted Life Year', 'abbreviation': 'ADALY'}]}, {'name': 'Goal 5: Gender Equality', 'issuable_products': []}, {'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 8: Decent Work and Economic Growth', 'issuable_products': []}, {'name': 'Goal 7: Affordable and Clean Energy', 'issuable_products': []}]",0.0,0.0,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False
3591,2022-06-23 05:51:22+00:00,2023-03-28 12:21:19+00:00,GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA011,"The project involves providing access to clean and affordable cooking energy services in various states of India through dissemination of improved, energy efficient cook stoves.

",Gold Standard for the Global Goals,39126,2021-10-19,2026-10-19,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Energy Efficiency - Domestic,Small Scale,11630,https://platform.sustain-cert.com/public-project/2877,Greenway Grameen Infra Private Limited,India,IN,,,Reporting Only,VPA,2775,10818,Dissemination of Improved Cookstoves in India by Greenway,"[{'name': 'Goal 7: Affordable and Clean Energy', 'issuable_products': []}, {'name': 'Goal 5: Gender Equality', 'issuable_products': []}, {'name': 'Goal 3: Good Health and Well-Being', 'issuable_products': [{'name': 'Averted Disability Adjusted Life Year', 'abbreviation': 'ADALY'}]}, {'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 8: Decent Work and Economic Growth', 'issuable_products': []}]",0.0,0.0,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False
3590,2022-06-23 05:51:08+00:00,2023-03-28 12:20:46+00:00,GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA010,"The project involves providing access to clean and affordable cooking energy services in various states of India through dissemination of improved, energy efficient cook stoves.

",Gold Standard for the Global Goals,39126,2021-09-27,2026-09-27,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Energy Efficiency - Domestic,Small Scale,11629,https://platform.sustain-cert.com/public-project/2876,Greenway Grameen Infra Private Limited,India,IN,,,Reporting Only,VPA,2775,10818,Dissemination of Improved Cookstoves in India by Greenway,"[{'name': 'Goal 7: Affordable and Clean Energy', 'issuable_products': []}, {'name': 'Goal 5: Gender Equality', 'issuable_products': []}, {'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 3: Good Health and Well-Being', 'issuable_products': [{'name': 'Averted Disability Adjusted Life Year', 'abbreviation': 'ADALY'}]}, {'name': 'Goal 8: Decent Work and Economic Growth', 'issuable_products': []}]",0.0,0.0,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False
3589,2022-06-23 05:51:01+00:00,2023-03-28 12:20:08+00:00,GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA009,"The project involves providing access to clean and affordable cooking energy services in various states of India through dissemination of improved, energy efficient cook stoves.

",Gold Standard for the Global Goals,39126,2021-09-02,2026-09-01,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Energy Efficiency - Domestic,Small Scale,11628,https://platform.sustain-cert.com/public-project/2875,Greenway Grameen Infra Private Limited,India,IN,,,VER,VPA,2775,10818,Dissemination of Improved Cookstoves in India by Greenway,"[{'name': 'Goal 8: Decent Work and Economic Growth', 'issuable_products': []}, {'name': 'Goal 7: Affordable and Clean Energy', 'issuable_products': []}, {'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 3: Good Health and Well-Being', 'issuable_products': [{'name': 'Averted Disability Adjusted Life Year', 'abbreviation': 'ADALY'}]}, {'name': 'Goal 5: Gender Equality', 'issuable_products': []}]",0.0,0.0,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False
3562,2022-06-06 09:31:36+00:00,2023-03-24 14:56:40+00:00,GS11450 - MicroEnergy Credits – Microfinance for Clean Energy Product Lines – India - CPA 12 - GS11482 ,"The small-scale project activity involves marketing, distributing, and financing improved cookstoves and solar lighting systems, for low-income households and microentrepreneurs in India. Future sales of solar lighting systems may happen in any state but within the geographic boundary of the PoA i.e. the country of India. However, it will be ensured at all times that the threshold for SSC projects is not exceeded and the PoA eligibility criteria are met.

These products provide clean energy for cooking and renewable energy for lighting. The cookstoves distributed under the VPA replaces traditional cookstoves thereby reducing the amount of fuelwood used for cooking in the baseline by households and thus reducing GHG emissions corresponding to the fuelwood saving by the project activity. The solar lighting systems replace kerosene-based lamps in households, which would have resulted in GHG emissions due to burning of fossil fuel i.e. kerosene.",Gold Standard for the Global Goals,0,2018-08-25,2023-08-24,AMS-I.A. Electricity generation by the user,Energy Efficiency - Domestic,Small Scale,11482,https://platform.sustain-cert.com/public-project/2683,MicroEnergy Credits,India,IN,,,VER,VPA,3501,11450,MicroEnergy Credits – Microfinance for Clean Energy Product Lines – India,"[{'name': 'Goal 5: Gender Equality', 'issuable_products': []}, {'name': 'Goal 8: Decent Work and Economic Growth', 'issuable_products': []}, {'name': 'Goal 12: Responsible Production and Consumption', 'issuable_products': []}, {'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 15: Life On Land', 'issuable_products': []}, {'name': 'Goal 3: Good Health and Well-Being', 'issuable_products': [{'name': 'Averted Disability Adjusted Life Year', 'abbreviation': 'ADALY'}]}, {'name': 'Goal 7: Affordable and Clean Energy', 'issuable_products': []}]",346582.0,0.0,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False
