id,created_at,updated_at,name,description,gsf_standards_version,estimated_annual_credits,crediting_period_start_date,crediting_period_end_date,methodology,type,size,sustaincert_id,sustaincert_url,project_developer,country,country_code,latitude,longitude,carbon_stream,programme_of_activities,poa_project_id,poa_project_sustaincert_id,poa_project_name,sustainable_development_goals,VER_issued_credits,VER_retired_credits,Goal_8,Goal_13,Goal_5,Goal_7,Goal_1,Goal_3,Goal_12,Goal_15,Goal_6,Goal_4,Goal_17,Goal_2,Goal_11,Goal_9,Goal_10,Goal_16,Goal_14,crediting_days,VER_sold_percentage,VER_sold_percentage_per_day,continent_code
3672,2022-08-22 22:08:54+00:00,2023-04-10 02:53:24+00:00,Top Third Ventures Stove Programme CPA KE0008 – BURN Efficient Cookstoves for Kenya supported by Republic of Korea,"The purpose of the CPA is to achieve widespread distribution and effective use of efficient cooking technologies in low-income urban households. The CPA Implementer is Korea Carbon Management Ltd. (KCM), a company registered in the Republic of Korea. KCM provides all implementation and ongoing project operation costs for the project under this CPA. The target group of the CPA are urban households using in the baseline scenario non-renewable biomass (predominantly charcoal) with a conventional system with no improved combustion air supply or flue gas ventilation system, i.e. without a grate or a chimney or an improved system with a significantly lower efficiency than that of the project ICS. The CPA will cover the Republic of Kenya, which is within the physical/geographical boundary of the PoA. The CPA deploys an efficient cooking stove known as Jikokoa. The technology was designed and developed by BURN. The Jikokoa G3.5 and Jikokoa Xtra (G4) have a certified thermal efficiency of 44.9% and 44.2% respectively and are intended for use with charcoal. The Jikokoa stove’s design takes into account the local cooking culture in the project area to ensure that improvements in technology and improved standards of living do not come at the expense of cultural traditions. ",Gold Standard for the Global Goals,123400,2019-11-03,2024-11-02,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Energy Efficiency - Domestic,Small Scale,11614,https://platform.sustain-cert.com/public-project/2861,Burn Manufacturing Co.,Kenya,KE,,,VER,VPA,3664,11607,Top Third Ventures Stove Programme ,"[{'name': 'Goal 8: Decent Work and Economic Growth', 'issuable_products': []}, {'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 5: Gender Equality', 'issuable_products': []}, {'name': 'Goal 7: Affordable and Clean Energy', 'issuable_products': []}]",0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1826,0.0,0.0,AF
3670,2022-08-17 11:48:09+00:00,2023-04-10 02:41:40+00:00,Top Third Ventures Stove Programme CPA KE0007 – BURN Efficient Cookstoves for Kenya supported by Republic of Korea,"The purpose of the CPA is to achieve widespread distribution and effective use of efficient cooking technologies in low-income urban households. The CPA Implementer is Korea Carbon Management Ltd. (KCM), a company registered in the Republic of Korea. KCM provides all implementation and ongoing project operation costs for the project under this CPA. The target group of the CPA are urban households using in the baseline scenario non-renewable biomass (predominantly charcoal) with a conventional system with no improved combustion air supply or flue gas ventilation system, i.e. without a grate or a chimney or an improved system with a significantly lower efficiency than that of the project ICS. The CPA will cover the Republic of Kenya, which is within the physical/geographical boundary of the PoA. The CPA deploys an efficient cooking stove known as Jikokoa. The technology was designed and developed by BURN. The Jikokoa G3.5 and Jikokoa Xtra (G4) have a certified thermal efficiency of 44.9% and 44.2% respectively and are intended for use with charcoal. The Jikokoa stove’s design takes into account the local cooking culture in the project area to ensure that improvements in technology and improved standards of living do not come at the expense of cultural traditions. ",Gold Standard for the Global Goals,26300,2019-11-03,2024-11-02,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Energy Efficiency - Domestic,Small Scale,11613,https://platform.sustain-cert.com/public-project/2860,Burn Manufacturing Co.,Kenya,KE,,,VER,VPA,3664,11607,Top Third Ventures Stove Programme ,"[{'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 5: Gender Equality', 'issuable_products': []}, {'name': 'Goal 8: Decent Work and Economic Growth', 'issuable_products': []}, {'name': 'Goal 7: Affordable and Clean Energy', 'issuable_products': []}]",0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1826,0.0,0.0,AF
3669,2022-08-17 11:47:34+00:00,2023-04-10 02:39:45+00:00,Top Third Ventures Stove Programme CPA KE0006 – BURN Efficient Cookstoves for Kenya supported by Republic of Korea,"The purpose of the CPA is to achieve widespread distribution and effective use of efficient cooking technologies in low-income rural households. The CPA Implementer is Korea Carbon Management Ltd. (KCM), a company registered in the Republic of Korea . KCM provides all implementation and ongoing project operation costs for the project under this CPA. The target group of the CPA are rural households using non-renewable biomass (firewood) with a three stone fire, or a conventional system with no improved combustion air supply or flue gas ventilation system, i.e. without a grate or a chimney, prior to receipt of an efficient cooking stove. The CPA will cover the Republic of Kenya, which is within the physical/geographical boundary of the PoA. The CPA deploys an efficient cooking stove known as Kuniokoa. The technology was designed and developed by BURN. The technology has a thermal efficiency of 41.90% and is intended for use with fuel wood. The Kuniokoa stove’s design takes into account the local cooking culture in the project area to ensure that improvements in technology and improved standards of living do not come at the expense of cultural traditions.",Gold Standard for the Global Goals,42093,2019-09-18,2024-09-17,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Energy Efficiency - Domestic,Small Scale,11612,https://platform.sustain-cert.com/public-project/2859,Burn Manufacturing Co.,Kenya,KE,,,VER,VPA,3664,11607,Top Third Ventures Stove Programme ,"[{'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 8: Decent Work and Economic Growth', 'issuable_products': []}, {'name': 'Goal 7: Affordable and Clean Energy', 'issuable_products': []}, {'name': 'Goal 5: Gender Equality', 'issuable_products': []}]",0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1826,0.0,0.0,AF
3668,2022-08-17 11:46:50+00:00,2023-04-10 02:36:31+00:00,Top Third Ventures Stove Programme CPA KE0005 – BURN Efficient Cookstoves for Kenya supported by Republic of Korea,"The purpose of the CPA is to achieve widespread distribution and effective use of efficient cooking technologies in low-income rural households. The CPA Implementer is Korea Carbon Management Ltd. (KCM), a company registered in the Republic of Korea . KCM provides all implementation and ongoing project operation costs for the project under this CPA. The target group of the CPA are rural households using non-renewable biomass (firewood) with a three stone fire, or a conventional system with no improved combustion air supply or flue gas ventilation system, i.e. without a grate or a chimney, prior to receipt of an efficient cooking stove. The CPA will cover the Republic of Kenya, which is within the physical/geographical boundary of the PoA. The CPA deploys an efficient cooking stove known as Kuniokoa. The technology was designed and developed by BURN. The technology has a thermal efficiency of 41.90% and is intended for use with fuel wood. The Kuniokoa stove’s design takes into account the local cooking culture in the project area to ensure that improvements in technology and improved standards of living do not come at the expense of cultural traditions.",Gold Standard for the Global Goals,42093,2019-09-18,2024-09-17,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Energy Efficiency - Domestic,Small Scale,11611,https://platform.sustain-cert.com/public-project/2858,Burn Manufacturing Co.,Kenya,KE,,,VER,VPA,3664,11607,Top Third Ventures Stove Programme ,"[{'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 8: Decent Work and Economic Growth', 'issuable_products': []}, {'name': 'Goal 7: Affordable and Clean Energy', 'issuable_products': []}, {'name': 'Goal 5: Gender Equality', 'issuable_products': []}]",0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1826,0.0,0.0,AF
3667,2022-08-17 11:45:44+00:00,2023-04-10 02:30:48+00:00,Top Third Ventures Stove Programme CPA KE0004 – BURN Efficient Cookstoves for Kenya supported by Republic of Korea,"The purpose of the CPA is to achieve widespread distribution and effective use of efficient cooking technologies in low-income rural households. The CPA Implementer is Korea Carbon Management Ltd. (KCM), a company registered in the Republic of Korea . KCM provides all implementation and ongoing project operation costs for the project under this CPA. The target group of the CPA are rural households using non-renewable biomass (firewood) with a three stone fire, or a conventional system with no improved combustion air supply or flue gas ventilation system, i.e. without a grate or a chimney, prior to receipt of an efficient cooking stove. The CPA will cover the Republic of Kenya, which is within the physical/geographical boundary of the PoA. The CPA deploys an efficient cooking stove known as Kuniokoa. The technology was designed and developed by BURN. The technology has a thermal efficiency of 41.90% and is intended for use with fuel wood. The Kuniokoa stove’s design takes into account the local cooking culture in the project area to ensure that improvements in technology and improved standards of living do not come at the expense of cultural traditions.",Gold Standard for the Global Goals,42093,2019-09-18,2024-09-17,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Energy Efficiency - Domestic,Small Scale,11610,https://platform.sustain-cert.com/public-project/2857,Burn Manufacturing Co.,Kenya,KE,,,VER,VPA,3664,11607,Top Third Ventures Stove Programme ,"[{'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 7: Affordable and Clean Energy', 'issuable_products': []}, {'name': 'Goal 8: Decent Work and Economic Growth', 'issuable_products': []}, {'name': 'Goal 5: Gender Equality', 'issuable_products': []}]",0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1826,0.0,0.0,AF
3666,2022-08-17 11:45:26+00:00,2023-04-10 02:29:49+00:00,Top Third Ventures Stove Programme CPA KE0003 – BURN Efficient Cookstoves for Kenya supported by Republic of Korea,"The purpose of the CPA is to achieve widespread distribution and effective use of efficient cooking technologies in low-income rural households. The CPA Implementer is Korea Carbon Management Ltd. (KCM), a company registered in the Republic of Korea . KCM provides all implementation and ongoing project operation costs for the project under this CPA. The target group of the CPA are rural households using non-renewable biomass (firewood) with a three stone fire, or a conventional system with no improved combustion air supply or flue gas ventilation system, i.e. without a grate or a chimney, prior to receipt of an efficient cooking stove. The CPA will cover the Republic of Kenya, which is within the physical/geographical boundary of the PoA. The CPA deploys an efficient cooking stove known as Kuniokoa. The technology was designed and developed by BURN. The technology has a thermal efficiency of 41.90% and is intended for use with fuel wood. The Kuniokoa stove’s design takes into account the local cooking culture in the project area to ensure that improvements in technology and improved standards of living do not come at the expense of cultural traditions.",Gold Standard for the Global Goals,42093,2019-09-18,2024-09-17,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Energy Efficiency - Domestic,Small Scale,11609,https://platform.sustain-cert.com/public-project/2856,Burn Manufacturing Co.,Kenya,KE,,,VER,VPA,3664,11607,Top Third Ventures Stove Programme ,"[{'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 8: Decent Work and Economic Growth', 'issuable_products': []}, {'name': 'Goal 5: Gender Equality', 'issuable_products': []}, {'name': 'Goal 7: Affordable and Clean Energy', 'issuable_products': []}]",0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1826,0.0,0.0,AF
3665,2022-08-17 08:48:12+00:00,2023-04-10 02:28:08+00:00,Top Third Ventures Stove Programme CPA KE0002 – BURN Efficient Cookstoves for Kenya supported by Republic of Korea,"The purpose of the CPA is to achieve widespread distribution and effective use of efficient cooking technologies in low-income rural households. The CPA Implementer is Korea Carbon Management Ltd. (KCM), a company registered in the Republic of Korea . KCM provides all implementation and ongoing project operation costs for the project under this CPA. The target group of the CPA are rural households using non-renewable biomass (firewood) with a three stone fire, or a conventional system with no improved combustion air supply or flue gas ventilation system, i.e. without a grate or a chimney, prior to receipt of an efficient cooking stove. The CPA will cover the Republic of Kenya, which is within the physical/geographical boundary of the PoA. The CPA deploys an efficient cooking stove known as Kuniokoa. The technology was designed and developed by BURN. The technology has a thermal efficiency of 41.90% and is intended for use with fuel wood. The Kuniokoa stove’s design takes into account the local cooking culture in the project area to ensure that improvements in technology and improved standards of living do not come at the expense of cultural traditions.",Gold Standard for the Global Goals,41993,2019-09-18,2024-09-17,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Energy Efficiency - Domestic,Small Scale,11608,https://platform.sustain-cert.com/public-project/2855,Burn Manufacturing Co.,Kenya,KE,,,VER,VPA,3664,11607,Top Third Ventures Stove Programme ,"[{'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 5: Gender Equality', 'issuable_products': []}, {'name': 'Goal 8: Decent Work and Economic Growth', 'issuable_products': []}, {'name': 'Goal 7: Affordable and Clean Energy', 'issuable_products': []}]",0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1826,0.0,0.0,AF
3653,2022-07-25 14:23:52+00:00,2023-03-15 01:54:01+00:00,GS10789 VPA10: Efficient and Clean Cooking for households in Mozambique,"This VPA deploys highly efficient improved charcoal cookstoves (ICS), known as ‘Jikokoas’ reducing woody biomass consumption for urban and peri-urban households in the Republic of Mozambique. The VPA is implemented by BURN Manufacturing Co. (in the following ‘BURN’), at the same time Coordinating and Managing Entity (CME) of the PoA, the biggest manufacturer of highly efficient improved cookstoves in Sub-Saharan Africa producing all its stoves in the first and only modern cookstove manufacturing facility in Kenya. BURN collaborates with various local partners on the ground to assist in the different activities of this cookstove project. The scenario existing prior to the implementation of the project is the use of very inefficient traditional cookstoves, consuming a lot of non-renewable charcoal and firewood. The high biomass consumption has negative impacts on the environment leading to deforestation and land degradation, Greenhouse Gas Emissions (GHG) emissions, loss of soil fertility and soils’ reduced ability of water retention. Further, indoor air pollution through health-damaging pollutants while combusting firewood and charcoal result in diseases like e.g. pneumonia, stroke, ischaemic heart diseases, chronic obstructive pulmonary diseases and lung cancer. The project activity will relieve these negative impacts.",Gold Standard for the Global Goals,311327,2021-03-30,2026-03-30,GS TPDDTEC v3.1,Energy Efficiency - Domestic,Large Scale,11606,https://platform.sustain-cert.com/public-project/2853,Burn Manufacturing Co.,Mozambique,MZ,,,VER,VPA,2746,10789,ECOA_BURN multi-country Clean Cooking Programme,"[{'name': 'Goal 1: No Poverty', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}]}, {'name': 'Goal 8: Decent Work and Economic Growth', 'issuable_products': []}, {'name': 'Goal 7: Affordable and Clean Energy', 'issuable_products': []}, {'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 3: Good Health and Well-Being', 'issuable_products': [{'name': 'Averted Disability Adjusted Life Year', 'abbreviation': 'ADALY'}]}]",9141.0,0.0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1826,0.0,0.0,AF
3649,2022-07-20 14:54:25+00:00,2023-03-27 18:37:46+00:00,TASC Clean Cooking PoA – VPA 3 (Zambia),"The goal of the proposed project is to distribute improved cookstoves (ICS) in households in Zambia. 

The African Stove Company Ltd. (TASC)  is the coordinating/managing entity (CME) of the PoA and is the sole implementer of the VPA. TASC’s mission is financing and developing high-impact climate mitigation projects. 
 
The VPA is retroactive in nature, as the first ICS was distributed in Zambia on the 21st of September 2021. ",Gold Standard for the Global Goals,96484,2021-09-21,2026-09-20,GS TPDDTEC v3.1,Energy Efficiency - Domestic,Large Scale,11596,https://platform.sustain-cert.com/public-project/2843,THE AFRICAN STOVE COMPANY LIMITED,Zambia,ZM,,,VER,VPA,2968,11009,TASC Clean Cooking PoA,"[{'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 3: Good Health and Well-Being', 'issuable_products': [{'name': 'Averted Disability Adjusted Life Year', 'abbreviation': 'ADALY'}]}, {'name': 'Goal 5: Gender Equality', 'issuable_products': []}, {'name': 'Goal 1: No Poverty', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}]}, {'name': 'Goal 12: Responsible Production and Consumption', 'issuable_products': []}, {'name': 'Goal 7: Affordable and Clean Energy', 'issuable_products': []}, {'name': 'Goal 8: Decent Work and Economic Growth', 'issuable_products': []}]",191115.0,0.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1825,0.0,0.0,AF
3636,2022-07-11 06:33:50+00:00,2023-04-03 06:30:18+00:00,Dongrui Animal Manure Management System GHG Mitigation Project in Heyuan City,"The project installs new animal waste management systems (AWMSs) to a group of 8 swine farms in Heyuan City. The project activity replaces the current open anaerobic lagoons with new AWMSs, and Each subsidiary swine farm will install one AWMS. All the manure and wastewater are collected and then be separated first. The separated solid are treated in aerobic composting system to produce fertilizer and part of the fertilizer will be distributed to the surrounding farmers free of charge to improve the life condition of farmers and the others will be sold to the market. The separated liquid is treated through anaerobic digestion, the biogas generated during the treatment process is captured for power generation and surplus biogas is destroyed through the flaring system (if any). The electricity generated are all used by the operation of AWMSs and the 8 swine farms. It is estimated that total 46,435,884m3 biogas are expected to be generated annually and each generator is installed in each subsidiary swine farm, total installed capacity of the proposed project is 8.1MW and the annual electricity production is estimated to be 59,435MWh. After anaerobic digestion. The sludge produced from anaerobic digestion will be treated through aerobic composting together with the separated solid and the effluent will be used as a liquid organic fertilizer for the irrigation of agriculture.",Gold Standard for the Global Goals,423531,2021-11-01,2026-10-31,ACM0010 GHG emission reductions from manure management systems,Biogas - Electricity,Large Scale,11674,https://platform.sustain-cert.com/public-project/2921,"Profit Carbon Environmental Energy Technology (Shanghai) Co., Ltd.",China,CN,,,VER,Standalone,,,,"[{'name': 'Goal 7: Affordable and Clean Energy', 'issuable_products': []}, {'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 8: Decent Work and Economic Growth', 'issuable_products': []}]",0.0,0.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1825,0.0,0.0,AS
